Sysname,model,source,network,description
TIJMTX-BCN1015-CA,7750,10.190.0.0,11000,IPMEAN-external:TP_policy
TIJMTX-BCN1015-CB,7750,10.190.0.1,11000,IPMEAN-external:TP_policy
TIJGTA-IUSTB00956-WA,7750,10.190.0.10,11000,IPMEAN-external:TP_policy
CULMTX-CUL011-CA,7750,10.190.0.100,11000,IPMEAN-external:TP_policy
CULMTX-CUL011-CB,7750,10.190.0.101,11000,IPMEAN-external:TP_policy
DIAMAN-CUL008-GA,7750,10.190.0.102,11000,IPMEAN-external:TP_policy
TV_AZT-CUL003-GA,7750,10.190.0.103,11000,IPMEAN-external:TP_policy
INDEPE-CUL002-GA,7750,10.190.0.104,11000,IPMEAN-external:TP_policy
CULGTA-IUSTB00921-WA,7750,10.190.0.105,11000,IPMEAN-external:TP_policy
MAZMTX-MAZ220-GA,7750,10.190.0.106,11000,IPMEAN-external:TP_policy
SOVADO-MAZ224-GA,7750,10.190.0.107,11000,IPMEAN-external:TP_policy
ZAPATA-MAZ222-GA,7750,10.190.0.108,11000,IPMEAN-external:TP_policy
GUAYMA-GUY480-GA,7750,10.190.0.109,11000,IPMEAN-external:TP_policy
OBRMTX-CDO531-GA,7750,10.190.0.110,11000,IPMEAN-external:TP_policy
MAGIST-GML120-GA,7750,10.190.0.111,11000,IPMEAN-external:TP_policy
MAZGTA-IUSTB00920-WA,7750,10.190.0.112,11000,IPMEAN-external:TP_policy
MOCMTX-LML169-GA,7750,10.190.0.113,11000,IPMEAN-external:TP_policy
VILSOL-LML167-GA,7750,10.190.0.114,11000,IPMEAN-external:TP_policy
NAVOJO-NVJ468-GA,7750,10.190.0.115,11000,IPMEAN-external:TP_policy
GUYGTA-IUSTB00925-WA,7750,10.190.0.117,11000,IPMEAN-external:TP_policy
NOGALE-NOG001-GA,7750,10.190.0.118,11000,IPMEAN-external:TP_policy
OBRGTA-IUSTB00924-WA,7750,10.190.0.119,11000,IPMEAN-external:TP_policy
HERMTX-HMO404-GA,7750,10.190.0.120,11000,IPMEAN-external:TP_policy
CULTUR-HMO437-GA,7750,10.190.0.121,11000,IPMEAN-external:TP_policy
NAVGTA-IUSTB00923-WA,7750,10.190.0.122,11000,IPMEAN-external:TP_policy
LAZCAR-HMO403-GA,7750,10.190.0.123,11000,IPMEAN-external:TP_policy
MCHGTA-IUSTB00934-WA,7750,10.190.0.124,11000,IPMEAN-external:TP_policy
LOMLIN-HMO400-GA,7750,10.190.0.126,11000,IPMEAN-external:TP_policy
GUAGTA-IUSTB00922-WA,7750,10.190.0.127,11000,IPMEAN-external:TP_policy
KINO-HMO429-GA,7750,10.190.0.128,11000,IPMEAN-external:TP_policy
NOGGTA-IUSTB00928-WA,7750,10.190.0.129,11000,IPMEAN-external:TP_policy
HERGTA-IUSTB00926-WA,7750,10.190.0.132,11000,IPMEAN-external:TP_policy
STAGTA-IUSTB00927-WA,7750,10.190.0.139,11000,IPMEAN-external:TP_policy
PPEGTA-IUSTB00935-WA,7750,10.190.0.140,11000,IPMEAN-external:TP_policy
CABALL-BCN1009-GA,7750,10.190.0.15,11000,IPMEAN-external:TP_policy
CULMTX-CUL011-EA,7750,10.190.0.151,11000,IPMEAN-external:TP_policy
CULMTX-CUL011-EB,7750,10.190.0.152,11000,IPMEAN-external:TP_policy
CULMTX-CUL011-SA,7450,10.190.0.153,11000,IPMEAN-external:TP_policy
CULMTX-CUL011-SB,7450,10.190.0.154,11000,IPMEAN-external:TP_policy
MORTVA-BCN1028-GA,7750,10.190.0.16,11000,IPMEAN-external:TP_policy
CUL-R20-EA,7750,10.190.0.160,11000,IPMEAN-external:TP_policy
CUL-R20-EB,7750,10.190.0.161,11000,IPMEAN-external:TP_policy
HER-R10-EA,7750,10.190.0.164,11000,IPMEAN-external:TP_policy
HER-R10-EB,7750,10.190.0.165,11000,IPMEAN-external:TP_policy
CBS-R11-EA,7750,10.190.0.168,11000,IPMEAN-external:TP_policy
CBS-R11-EB,7750,10.190.0.169,11000,IPMEAN-external:TP_policy
MELGTA-IUSTB00933-WA,7750,10.190.0.17,11000,IPMEAN-external:TP_policy
REVOLU-BCN1042-GA,7750,10.190.0.2,11000,IPMEAN-external:TP_policy
TIJMTX-BCN1015-EA,7750,10.190.0.20,11000,IPMEAN-external:TP_policy
CHIMTX-CHI100-CA,7750,10.190.0.200,11000,IPMEAN-external:TP_policy
PASITO-CHI106-GA,7750,10.190.0.202,11000,IPMEAN-external:TP_policy
FRESNO-CHI117-GA,7750,10.190.0.207,11000,IPMEAN-external:TP_policy
CHIGTA-IUSTB00930-WA,7750,10.190.0.208,11000,IPMEAN-external:TP_policy
TORMTX-TOR250-CA,7750,10.190.0.209,11000,IPMEAN-external:TP_policy
TIJMTX-BCN1015-EB,7750,10.190.0.21,11000,IPMEAN-external:TP_policy
TORMTX-TOR250-CB,7750,10.190.0.210,11000,IPMEAN-external:TP_policy
GOMPAL-TOR253-GA,7750,10.190.0.211,11000,IPMEAN-external:TP_policy
PARIND-TOR265-GA,7750,10.190.0.212,11000,IPMEAN-external:TP_policy
AIRSOU-TOR256-GA,7750,10.190.0.213,11000,IPMEAN-external:TP_policy
BOLONI-TOR261-GA,7750,10.190.0.214,11000,IPMEAN-external:TP_policy
MOCGTA-IUSTB00931-WA,7750,10.190.0.215,11000,IPMEAN-external:TP_policy
CGOGTA-IUSTB00967-WA,7750,10.190.0.216,11000,IPMEAN-external:TP_policy
PARGTA-IUSTB00968-WA,7750,10.190.0.217,11000,IPMEAN-external:TP_policy
SOUCEN-TOR251-GA,7750,10.190.0.218,11000,IPMEAN-external:TP_policy
GOMGTA-IUSTB00939-WA,7750,10.190.0.219,11000,IPMEAN-external:TP_policy
ENSGTA-IUSTB0098-WA,7750,10.190.0.22,11000,IPMEAN-external:TP_policy
PARRAL-HGP375-GA,7750,10.190.0.220,11000,IPMEAN-external:TP_policy
JUAMTX-JUA002-CA,7750,10.190.0.221,11000,IPMEAN-external:TP_policy
JUAMTX-JUA002-CB,7750,10.190.0.222,11000,IPMEAN-external:TP_policy
SANLUC-JUA011-GA,7750,10.190.0.223,11000,IPMEAN-external:TP_policy
GRANJE-JUA008-GA,7750,10.190.0.224,11000,IPMEAN-external:TP_policy
EASCEN-JUA009-GA,7750,10.190.0.225,11000,IPMEAN-external:TP_policy
PRADER-JUA035-GA,7750,10.190.0.226,11000,IPMEAN-external:TP_policy
FRAVIL-DGO604-GA,7750,10.190.0.227,11000,IPMEAN-external:TP_policy
DURMTX-DGO602-GA,7750,10.190.0.228,11000,IPMEAN-external:TP_policy
TVAZTE-DGO600-GA,7750,10.190.0.229,11000,IPMEAN-external:TP_policy
ENSENA-BCN1051-GA,7750,10.190.0.23,11000,IPMEAN-external:TP_policy
JERGTA-IUSTB00929-WA,7750,10.190.0.233,11000,IPMEAN-external:TP_policy
DURGTA-IUSTB00900-WA,7750,10.190.0.234,11000,IPMEAN-external:TP_policy
TORMTX-TOR250-EA,7750,10.190.0.235,11000,IPMEAN-external:TP_policy
TORMTX-TOR250-EB,7750,10.190.0.236,11000,IPMEAN-external:TP_policy
TORMTX-TOR250-SA,7450,10.190.0.237,11000,IPMEAN-external:TP_policy
TORMTX-TOR250-SB,7450,10.190.0.238,11000,IPMEAN-external:TP_policy
JUAGTA-IUSTB00960-WA,7750,10.190.0.239,11000,IPMEAN-external:TP_policy
TECGTA-IUSTB00932-WA,7750,10.190.0.24,11000,IPMEAN-external:TP_policy
CHIMTX-CHI100-EA,7750,10.190.0.245,11000,IPMEAN-external:TP_policy
CHIMTX-CHI100-EB,7750,10.190.0.246,11000,IPMEAN-external:TP_policy
CHIMTX-CHI100-SA,7450,10.190.0.247,11000,IPMEAN-external:TP_policy
CHIMTX-CHI100-SB,7450,10.190.0.248,11000,IPMEAN-external:TP_policy
TECATE-BCN1037-GA,7750,10.190.0.25,11000,IPMEAN-external:TP_policy
TORGTA-IUSTB00940-WA,7750,10.190.0.252,11000,IPMEAN-external:TP_policy
SRLGTA-IUSTB00989-WA,7750,10.190.0.26,11000,IPMEAN-external:TP_policy
LCAMTX-BCS1003-CA,7750,10.190.0.30,11000,IPMEAN-external:TP_policy
LCAMTX-BCS1003-CB,7750,10.190.0.31,11000,IPMEAN-external:TP_policy
TIJMTX-BCN1015-SA,7450,10.190.0.32,11000,IPMEAN-external:TP_policy
TIJMTX-BCN1015-SB,7450,10.190.0.33,11000,IPMEAN-external:TP_policy
PAZIND-BCS1015-GA,7750,10.190.0.37,11000,IPMEAN-external:TP_policy
GTALAP-IUSTB00988-WA,7750,10.190.0.38,11000,IPMEAN-external:TP_policy
OTAY-BCN1051-GA,7750,10.190.0.4,11000,IPMEAN-external:TP_policy
CABSLU-BCS1012-GA,7750,10.190.0.41,11000,IPMEAN-external:TP_policy
LDSGTA-IUSTB00957-WA,7750,10.190.0.42,11000,IPMEAN-external:TP_policy
LCAMTX-BCS1003-EA,7750,10.190.0.49,11000,IPMEAN-external:TP_policy
LCAMTX-BCS1003-EB,7750,10.190.0.50,11000,IPMEAN-external:TP_policy
LCAMTX-BCS1003-SA,7450,10.190.0.51,11000,IPMEAN-external:TP_policy
LCAMTX-BCS1003-SB,7450,10.190.0.52,11000,IPMEAN-external:TP_policy
TIJ-M5-CA,7750,10.190.0.54,11000,IPMEAN-external:TP_policy
TIJ-M5-CB,7750,10.190.0.55,11000,IPMEAN-external:TP_policy
TIJ-M5-EA,7750,10.190.0.56,11000,IPMEAN-external:TP_policy
TIJ-M5-EB,7750,10.190.0.57,11000,IPMEAN-external:TP_policy
FLORID-BCN1070-GA,7750,10.190.0.6,11000,IPMEAN-external:TP_policy
ALAMOS-BCN1043-GA,7750,10.190.0.7,11000,IPMEAN-external:TP_policy
PALMAS-BCN1065-GA,7750,10.190.0.8,11000,IPMEAN-external:TP_policy
MARMOL-BCN1044-GA,7750,10.190.0.9,11000,IPMEAN-external:TP_policy
JUAMTX-JUA002-EA,7750,10.190.1.0,11000,IPMEAN-external:TP_policy
JUAMTX-JUA002-EB,7750,10.190.1.1,11000,IPMEAN-external:TP_policy
IUSATE-TMP4008-GA,7750,10.190.1.100,11000,IPMEAN-external:TP_policy
LASFUE-TMP4017-GA,7750,10.190.1.102,11000,IPMEAN-external:TP_policy
MATAMO-TMP4011-GA,7750,10.190.1.104,11000,IPMEAN-external:TP_policy
SALUAC-COA4025-GA,7750,10.190.1.107,11000,IPMEAN-external:TP_policy
VICGTA-IUSTB00986-WA,7750,10.190.1.110,11000,IPMEAN-external:TP_policy
CDVICT-CVM330-GA,7750,10.190.1.111,11000,IPMEAN-external:TP_policy
LAJGTA-IUSTB00961-WA,7750,10.190.1.113,11000,IPMEAN-external:TP_policy
MONGTA-IUSTB00936-WA,7750,10.190.1.114,11000,IPMEAN-external:TP_policy
MONCLO-COA4012L-GA,7750,10.190.1.115,11000,IPMEAN-external:TP_policy
PNEGTA-IUSTB00897-WA,7750,10.190.1.117,11000,IPMEAN-external:TP_policy
PIENEG-NVL4038-GA,7750,10.190.1.119,11000,IPMEAN-external:TP_policy
ALTGTA-IUSTB00902-WA,7750,10.190.1.121,11000,IPMEAN-external:TP_policy
SABGTA-IUSTB00937-WA,7750,10.190.1.122,11000,IPMEAN-external:TP_policy
TAMMTX-TAMREP011-CA,7750,10.190.1.124,11000,IPMEAN-external:TP_policy
TAMMTX-TAMREP011-CB,7750,10.190.1.125,11000,IPMEAN-external:TP_policy
TAMMTX-TAMREP011-EA,7750,10.190.1.128,11000,IPMEAN-external:TP_policy
TAMMTX-TAMREP011-EB,7750,10.190.1.129,11000,IPMEAN-external:TP_policy
TAMMTX-TAMREP011-SA,7450,10.190.1.130,11000,IPMEAN-external:TP_policy
TAMMTX-TAMREP011-SB,7450,10.190.1.131,11000,IPMEAN-external:TP_policy
GUEGTA-IUSTB00978-WA,7750,10.190.1.134,11000,IPMEAN-external:TP_policy
MTY-M4-CA,7750,10.190.1.138,11000,IPMEAN-external:TP_policy
MTY-M4-CB,7750,10.190.1.139,11000,IPMEAN-external:TP_policy
MTY-M4-EA,7750,10.190.1.140,11000,IPMEAN-external:TP_policy
MTY-M4-EB,7750,10.190.1.141,11000,IPMEAN-external:TP_policy
NLD-R12-EA,7750,10.190.1.142,11000,IPMEAN-external:TP_policy
NLD-R12-EB,7750,10.190.1.143,11000,IPMEAN-external:TP_policy
REY-R15-EA,7750,10.190.1.146,11000,IPMEAN-external:TP_policy
REY-R15-EB,7750,10.190.1.147,11000,IPMEAN-external:TP_policy
GDLMTX-JAL5075-CA,7750,10.190.1.150,11000,IPMEAN-external:TP_policy
TLAQUE-JAL5084-GA,7750,10.190.1.152,11000,IPMEAN-external:TP_policy
GDLCEN-JAL5019-GA,7750,10.190.1.153,11000,IPMEAN-external:TP_policy
MEZQUI-JAL5101-GA,7750,10.190.1.154,11000,IPMEAN-external:TP_policy
PROVID-JAL5084-GA,7750,10.190.1.155,11000,IPMEAN-external:TP_policy
FRESNO-JAL5055-GA,7750,10.190.1.156,11000,IPMEAN-external:TP_policy
STAMAR-GUA035H-GA,7750,10.190.1.157,11000,IPMEAN-external:TP_policy
TIJERA-JAL5060-GA,7750,10.190.1.158,11000,IPMEAN-external:TP_policy
FUENTE-JAL5085-GA,7750,10.190.1.159,11000,IPMEAN-external:TP_policy
INGLAT-JAL5100-GA,7750,10.190.1.160,11000,IPMEAN-external:TP_policy
CRZSUR-JAL5099-GA,7750,10.190.1.161,11000,IPMEAN-external:TP_policy
AUDITO-JAL5091-GA,7750,10.190.1.163,11000,IPMEAN-external:TP_policy
VALREA-JAL5092-GA,7750,10.190.1.165,11000,IPMEAN-external:TP_policy
PATRIA-JAL5077-GA,7750,10.190.1.166,11000,IPMEAN-external:TP_policy
GDLGTA-IUSTB00951-WA,7750,10.190.1.167,11000,IPMEAN-external:TP_policy
GDLMTX-JAL5075-SA,7450,10.190.1.170,11000,IPMEAN-external:TP_policy
GDLMTX-JAL5075-SB,7450,10.190.1.171,11000,IPMEAN-external:TP_policy
PVAGTA-IUSTB00953-WA,7750,10.190.1.174,11000,IPMEAN-external:TP_policy
TEPGTA-IUSTB00964-WA,7750,10.190.1.176,11000,IPMEAN-external:TP_policy
ROCIOM-COL5002-GA,7750,10.190.1.177,11000,IPMEAN-external:TP_policy
COLGTA-IUSTB00950-WA,7750,10.190.1.178,11000,IPMEAN-external:TP_policy
COLCEN-COL5017-GA,7750,10.190.1.179,11000,IPMEAN-external:TP_policy
MORGTA-MICH5022-WA,7750,10.190.1.181,11000,IPMEAN-external:TP_policy
TOREO-MICH5032-GA,7750,10.190.1.182,11000,IPMEAN-external:TP_policy
COSMOS-MOR007-GA,7750,10.190.1.183,11000,IPMEAN-external:TP_policy
LASALU-MICH5022-GA,7750,10.190.1.184,11000,IPMEAN-external:TP_policy
SIELEO-MOR003H-GA,7750,10.190.1.185,11000,IPMEAN-external:TP_policy
LCAGTA-IUSTB00948-WA,7750,10.190.1.186,11000,IPMEAN-external:TP_policy
LAZCA5-MICH5027-GA,7750,10.190.1.187,11000,IPMEAN-external:TP_policy
PUEVA1-JAL5012-GA,7750,10.190.1.194,11000,IPMEAN-external:TP_policy
TEPTVA-NAY5009-GA,7750,10.190.1.195,11000,IPMEAN-external:TP_policy
JUAMTX-JUA002-SA,7450,10.190.1.2,11000,IPMEAN-external:TP_policy
LALOMA-JAL5059-GA,7750,10.190.1.206,11000,IPMEAN-external:TP_policy
MANGTA-IUSTB00966-WA,7750,10.190.1.209,11000,IPMEAN-external:TP_policy
TEPIC2-IUSTB00952-WA,7750,10.190.1.211,11000,IPMEAN-external:TP_policy
GDL-M3-CA,7750,10.190.1.214,11000,IPMEAN-external:TP_policy
GDL-M3-CB,7750,10.190.1.215,11000,IPMEAN-external:TP_policy
GDL-M3-EA,7750,10.190.1.216,11000,IPMEAN-external:TP_policy
OCOTLAN-WA,7750,10.190.1.219,11000,IPMEAN-external:TP_policy
URUAPAN-WA,7750,10.190.1.220,11000,IPMEAN-external:TP_policy
URUAPAN-MICH5011-GA,7750,10.190.1.221,11000,IPMEAN-external:TP_policy
CARDENAS-WA,7750,10.190.1.222,11000,IPMEAN-external:TP_policy
CARDENAS-TAB8007-GA,7750,10.190.1.223,11000,IPMEAN-external:TP_policy
MXCOLCOL0080RTAGG01,7750,10.190.1.227,11000,IPMEAN-external:TP_policy
AERVALL-HPTV0016-GA,7750,10.190.1.228,11000,IPMEAN-external:TP_policy
MXJALTLZ0887RTAGG01,7750,10.190.1.240,11000,IPMEAN-external:TP_policy
JUAMTX-JUA002-SB,7450,10.190.1.3,11000,IPMEAN-external:TP_policy
CHI-R9-EA,7750,10.190.1.4,11000,IPMEAN-external:TP_policy
CHI-R9-EB,7750,10.190.1.5,11000,IPMEAN-external:TP_policy
MONTER-NVL4038-CA,7750,10.190.1.50,11000,IPMEAN-external:TP_policy
MONTER-NVL4038-CB,7750,10.190.1.51,11000,IPMEAN-external:TP_policy
MONTER-NVL4038-EB,7750,10.190.1.55,11000,IPMEAN-external:TP_policy
MONTER-NVL4038-SA,7450,10.190.1.56,11000,IPMEAN-external:TP_policy
MONTER-NVL4038-SB,7450,10.190.1.57,11000,IPMEAN-external:TP_policy
MTYGTA-IUSTB00959-WA,7750,10.190.1.60,11000,IPMEAN-external:TP_policy
DIVNOR-NVL4031-GA,7750,10.190.1.61,11000,IPMEAN-external:TP_policy
LAFE-NVL4049-GA,7750,10.190.1.63,11000,IPMEAN-external:TP_policy
OTOMI-NVL4040-GA,7750,10.190.1.64,11000,IPMEAN-external:TP_policy
MONTER-NVL4038-IEA,7750,10.190.1.65,11000,IPMEAN-external:TP_policy
NUEMOR-NVL4052-GA,7750,10.190.1.67,11000,IPMEAN-external:TP_policy
PENGUE-NVL4064-GA,7750,10.190.1.70,11000,IPMEAN-external:TP_policy
DIEDIA-NVL4032-GA,7750,10.190.1.71,11000,IPMEAN-external:TP_policy
CINTER-NVL4093-GA,7750,10.190.1.72,11000,IPMEAN-external:TP_policy
HUMLOB-NVL4039-GA,7750,10.190.1.73,11000,IPMEAN-external:TP_policy
JUAREZ-NVL4022-GA,7750,10.190.1.75,11000,IPMEAN-external:TP_policy
HUINAL-NVL4053-GA,7750,10.190.1.76,11000,IPMEAN-external:TP_policy
